1000 5000
ForteDeiMarmi Spinazzola 2631.85
Cervesina Treviglio 304.73
Bucine Fluminata 321.25
Agra CasalPalocco 394.57
Camponogara RovelloPorro 579.0
Sassetta Spadafora 1881.52
Alba Onanì 866.98
Pellaro SantaMariaAVico 951.44
Scansano Trevico 1820.88
FontanetoD'Agogna Temù 150.05
Caltana ForlìDelSannio 255.19
NaveSanRocco Polonghera 1644.56
Cicerale Venticano 42.06
Marsala MelitoDiNapoli 198.5
Bessude Villette 558.63
Anagni Ponso 1437.26
Castelbelforte Desulo 1853.99
FalernaScalo Sant'AngeloMuxaro 484.09
Carchitti FaraInSabina 26.09
Grugliasco SanNazzaroSesia 70.57
Castelfranci Voltago 1349.78
Taio Vallonga 283.21
Canelli Cornovecchio 474.96
Intragna Maschito 2894.22
MontecalvoInFoglia Revere 125.94
Cipressa Nociglia 2581.85
Carnate Ripi 751.32
CountryPark Osasio 3032.39
PianaSanRaffaele Venticano 1101.72
Cimadolmo Torregrotta 2639.29
Eremo RomettaMarea 1983.12
Leno Roccabianca 64.04
CaprinoVeronese Conscenti 569.49
Quaderni Zaccanopoli 1670.96
FalernaScalo Spirano 1088.84
MelitoDiNapoli Rezzato 368.45
MassaD'Albe-Corona PianaDegliAlbanesi 239.0
Buscoldo GerolaAlta 610.51
Rogno Vallonga 680.22
Onanì Padru 99.18
OrioAlSerio Vicalvi 1153.57
Ailoche SoveratoSuperiore 802.58
Loiano Parre 519.29
Casignana RivaltaBormida 2762.1
Ponti SanGiovanniDiGerace 632.17
Muros SantaCristinaValgardena 1744.24
Palagianello VerruaPo 2922.94
Cosniga-Zoppè SanLorenzoAlMare 1010.36
PuntaMarina TrescoreBalneario 1071.54
SpignoSaturniaSuperiore VicoEquense 246.62
Briosco Pietragalla 3027.24
Montenars Sairano 1483.88
Capitignano Rodero 2388.43
CastiglioneD'Orcia Vallonga 674.89
Melpignano MonteMiglioreLaSelvotta 1475.9
Giave PozzaglioEdUniti 1814.79
RovelloPorro Stenico 682.71
Cannara Donnalucata 2658.89
Caspoggio Cremolino 245.76
Bertiolo Rodero 1682.48
Fossò TrescoreBalneario 915.17
Comeana Mendicino 2521.96
Boretto SanBenedettoUllano 976.04
Alatri Ardesio 1733.94
Imposte Roccabianca 1398.2
Arrone CostiglioleSaluzzo 449.55
Bogogno Collesano 2088.6
Broccostella Carmignano 1442.94
Pegolotte Vignola 159.54
Cassacco RonchiDiCampanile 651.61
Foligno Lombardore 1566.1
Andali Fiumalbo-Dogana 3352.27
Casalgrasso Montauro 1064.92
Campodenno Monticello 245.2
Alessano Caravate 4958.55
Bessude Casalgrasso 982.84
Fluminata Triggiano 1221.95
MonteneroDiBisaccia Trinitapoli 253.0
Carovigno Monticchio 1896.34
FrancavillaD'Ete SoglianoCavour 1643.07
Tolentino Vicalvi 466.74
PianoDiMommio RocchettaNuova 1161.72
Cuggiono Sambuco 909.97
Biccari Valdieri 2021.34
CastiglioneOlona Cissone 212.79
Cepagatti GaglianoCastelferrato 552.28
Caldonazzo Pigna 887.0
Donnalucata Nerola 501.79
Andali TorreDe'Passeri 1069.9
Grantola Ponso 1216.6
CastelnuovoDiValDiCecina Rogno 506.32
Padria Valenza 1276.3
BarrieraDiMilano BorgoDiTerzo 483.31
Alba Castelcovati 369.22
FornaciDiBarga Sanza 1256.68
MombelloDiTorino VillapianaLido 3854.08
Pietralunga Temù 1407.64
CastelRozzone VillaFornace 149.57
CapoD'Orlando Prignano 3051.55
Merano Polistena 2857.69
Gavignano Seveso 1779.12
Casalzuigno PrignanoSullaSecchia 271.32
Cenaia Rovagnate 791.25
Tolentino VillaCastelli 686.67
MezzanaMortigliengo Povegliano 497.69
Confienza Silea 435.36
Campodenno Confienza 1010.98
Comeana Cucciago 914.33
CampagnolaEmilia Ossi 1259.75
Cassacco Santerno 479.25
FabroScalo SantaBrigida 616.84
SanZenoNaviglio TorreDe'Picenardi 61.96
Portula Villair-Amerique 64.1
FaraInSabina SanLorenzoNuovo 420.04
Carema Maccagno 331.61
CostiglioleSaluzzo Toirano 173.28
Cagnò SantaMariaDelMolise 2234.39
Monselice Silea 61.34
BagnoliDiSopra SanGabriele-Mondonuovo 156.22
Bannio Canelli 355.83
Manduria PianaDegliAlbanesi 1878.8
Bessude Santopadre 1821.82
CastelnovoBariano Tolentino 597.18
Cannara Curtarolo 525.63
MombelloDiTorino SanTerenzo 258.48
Ostana Sant'Apollinare 1070.2
Petrignano SantoStefanoDiCamastra 1633.28
Marco Spinete 1416.46
NoventaVicentina Trevi 647.48
Guardistallo Torpè 419.93
Mamoiada Pigna 909.43
Pederiva Sairano 560.4
ButtiglieraAlta Quassolo 75.61
Cossignano Fossacesia 263.24
BarberinoDiMugello Portobuffolè 378.05
SanGiovanniLipioni VigaranoMainarda 937.54
Narcao Presicce 1481.54
Cepagatti SanBenedettoInPerillis 79.99
Ozieri Thiene 1472.9
Bagnolo CassanoDelleMurge 2581.28
Cicciano Fondo 1410.83
Offanengo VolturaraIrpina 2850.32
AlbanoSant'Alessandro Sant'AndreaApostoloDelloIonio 1791.97
CaramanicoTerme Montegaldella 1048.27
CastelnovoBariano Spresiano 281.35
Bistagno Tettorosso 275.38
Curcuris Marco 952.83
BariSardo Introzzo 537.91
CernuscoSulNaviglio Chieve 119.53
Monzambano Pompu 2117.13
Antey-Saint-Andrè PettorazzaGrimani 1216.09
Fondi Petrosino 595.67
Marsala Sanza 1497.3
Sambuco Valnegra 826.53
Fonteno SanGiuseppeLePrata-Cotropagno 1319.77
Civitavecchia Portobuffolè 362.57
Mozzecane Sospiro 92.36
BagnoRoselle RossanoStazione 1415.7
Palizzi Sassetta 2294.41
GricignanoDiAversa Kamma 361.17
FornaciDiBarga Sambuco 754.05
PonteRonca SantaMariaImbaro 948.31
Silea Trinitapoli 2417.2
CaprinoVeronese Carceri 239.17
Campodenno SanBenedettoInPerillis 1709.7
Carnate SettimoMilanese 113.1
Berzantina Maschito 541.99
Canalicchio PianaDegliAlbanesi 482.8
FornaciDiBarga TuoroSulTrasimeno 410.32
Acquaformosa CerretoLaziale 1407.65
PianaSanRaffaele Udine 556.5
FiumefreddoSicilia Latiano 1387.87
DolegnaDelCollio LongoneSabino 269.74
Alberi Montauro 3401.64
Castelbelforte Vandoies-Vintl 680.77
Renazzo Traves 1351.57
Lugo Suni 1055.42
MontorioRomano MornicoLosana 934.1
Padria VillanovaMarchesana 1360.61
Roncà SolignanoNuovo 84.8
Condofuri Fiesse 3979.29
Biandronno RoioDelSangro 917.87
Cartura CastelRitaldi 691.74
Fondo Ottiglio 389.86
MagrèSullaStradaDelVino PietraMarazzi 977.53
Cassinelle-Concentrico Montegridolfo 1772.35
Rubiera Suvereto 485.27
FalernaScalo Nerola 1696.58
Bolotana Mondovì 1816.31
Rezzato SanChiricoNuovo 2538.68
Franche Grottolella 73.17
Broni Mondolfo 568.85
Comeana Moiola 1335.3
Onè Sagnino 416.13
Cunettone-Villa Sueglio 398.32
Baragiano SoveratoSuperiore 888.29
Cassacco Treville 1739.76
Biandronno Ossi 1923.16
Maclodio Prunetto 484.21
Bonea Porto 105.91
Miggiano Voltana 3428.6
LugagnanoValD'Arda Pioraco 205.49
Cappelletta Pellizzano 98.54
Berzantina LonatePozzolo 181.66
Cuggiono Taio 634.42
Colturano Sanguinetto 544.31
Grantola Montese 602.92
AlìTerme Lavenone 2728.43
PalmaDiMontechiaro Sant'AngeloMuxaro 120.29
BorghettoSantoSpirito VillaFornace 489.08
Lanvario SanGiovanniDiGerace 2423.62
Carchitti Durazzano 471.94
BagnoRoselle Cagli 479.66
Grottolella Vicalvi 373.83
Quassolo SanGiuseppeLePrata-Cotropagno 2895.14
CastiglioneOlona Lavenone 431.04
Monticello Sava 3117.48
Camponogara CastelGuelfoDiBologna 68.68
Torpè Treviglio 1672.15
Castelbelforte Trecenta 159.87
Casteggio Corropoli 854.64
Posina PuntaMarina 471.73
ButtiglieraAlta Mercatale-SanQuirico 741.23
Casalbuttano Cras 1556.45
SilvanoD'Orba Strangolagalli 784.27
Montiglio Patti 2726.74
SanPietroCapofiume VicoEquense 462.88
Ailoche Genuri 664.08
Lavenone Pescorocchiano 1349.62
Cicciano Pinzolo 360.48
Peseggia-Gardigiano Vieste 2140.99
Saletto-SanBartolomeo Spresiano 20.21
ConcordiaSullaSecchia FalernaScalo 3073.31
Mesenzana SanPietro 824.83
CastellettoD'Orba SanGiovanniDiGerace 2873.61
Mondolfo Trevi 357.52
PuosD'Alpago Thiene 365.64
Cirimido Gandino 53.96
Povegliano Terrarossa 675.59
BorgoSanPaolo RoncoCanavese 165.27
Eremo TrescoreBalneario 108.76
Malalbergo VillaMusone 530.67
Merano Strudà 937.78
Manerbio Montegranaro 833.71
CuraCarpignano Pigna 750.53
Acerra PonteAPoppi 515.02
Scansano Terrasini 1676.59
Crognaleto Pozzoleone 452.8
Centrache RomettaMarea 438.06
NoviLigure PerosaArgentina 476.59
Buonvicino SanCostantinoCalabro 301.94
Ala Pianoconte 1853.38
Pegolotte Roncello 1126.33
Beinette Castelfondo 1403.96
Montenerodomo RovelloPorro 1272.63
CasanovaElvo Pievepelago 842.14
Belverde Venticano 1608.15
Cellole Colorno 1610.72
Pinzolo Sefro 298.84
LugagnanoValD'Arda Trecenta 306.28
Vallonga VillaVicentina 308.99
FaggetoLario Maschito 1153.25
CastelloTesino PettorazzaGrimani 364.85
Carema LeForna 2294.7
MonteMiglioreLaSelvotta Zuclo 1271.35
ButtiglieraAlta Osasio 106.72
Crespadoro Selva 1948.27
Campospinoso MonasteroloCasotto 584.6
Bolognano-Vignole PavoneDelMella 258.71
Caldonazzo Cerva 1416.7
Thiene VillapianaLido 1911.29
ArcinazzoRomano Troia 909.97
CuraCarpignano Polonghera 602.09
Calatabiano CernuscoSulNaviglio 1033.16
Bova Grugliasco 3678.26
Ferrandina VaranoDe'Melegari 501.62
FrancavillaD'Ete TioneDiTrento 717.35
Cagli Saonara 819.94
FoianoDellaChiana SpignoSaturniaSuperiore 726.98
Caluso VillaMusone 2513.23
BoscoMarengo Caltana 935.29
Morino Valnegra 550.68
Cagli Ferrandina 723.04
ColleCampano-Scrima Spirano 1338.36
Ozieri VolpagoDelMontello 1398.94
IstiaD'Ombrone-LeStiacciole Temù 1410.1
Castelfranci Ponzano 400.98
Broccostella Ronago 590.35
Cene SantaBrigida 69.24
Campli CampoDiCarne 201.61
CerretoLanghe Taio 296.38
Kamma Pegolotte 1274.16
BorghettoDiBorbera Torrebelvicino 169.72
Fiumalbo-Dogana SanPietroMussolino 87.48
Paladina SanLorenzoNuovo 1157.21
CerretoLanghe MornicoLosana 454.31
Fondo StagnoLombardo 672.63
Dovera GiaccianoConBaruchella 411.3
Manerbio Marconia 3509.68
Cerva ValeggioSulMincio 2992.89
Ala Casciago 684.17
GorlaMinore SanFiorDiSopra 1101.74
PrataDiSotto Tettorosso 362.33
BarberinoDiMugello Curtarolo 182.69
Campochiesa Siddi 683.23
Grottaminarda Pernumia 1003.62
Carovigno Roccabianca 979.02
Idro Vercana 283.79
BariSardo Casalborgone 2305.83
CannetoPavese Montefiascone 978.51
SanGregorioNelleAlpi TonezzaDelCimone 314.33
Marcaria VicoEquense 1126.79
Pianoro VolturaraIrpina 338.28
Galatina Magomadas 723.52
Berzantina SanSosti 1079.5
Pray SanLeonardo 2100.77
ButtiglieraAlta Zuglio 565.25
Como Vita 1150.5
Roccabianca Valfloriana 568.62
CastelnuovoDiCeva SantaMariaImbaro 566.37
Castelsaraceno SpignoSaturniaSuperiore 273.14
Petrosino Sinio 3346.0
Casavecchia Costarainera 168.27
CountryPark Villacidro 1264.93
Civitaluparella MornicoLosana 1402.55
Bessude Franche 989.16
Calatabiano SelvaDeiMolini 1471.32
CervareseSantaCroce Zerbolò 851.39
Carmignano Mazzano 367.39
Mombasiglio SambucaDiSicilia 2586.86
Pietrapertosa Stenico 3312.28
Madrano-Canzolino Mamoiada 2607.1
CaprinoVeronese CastelnuovoParano 1605.38
Cascinare Viale 2544.87
DonniciInferiore SanBellino 694.91
Bogogno Leno 468.36
Introzzo Rogolo 37.54
Ponti Vercana 705.94
IstiaD'Ombrone-LeStiacciole Moiola 1537.12
Cassinelle-Concentrico Corropoli 2296.56
FaggetoLario Murisengo 364.06
CapezzanoInferiore GricignanoDiAversa 238.04
Carmignano Casalzuigno 959.2
MadonnaDelSasso VigaranoMainarda 369.93
Buonvicino VillaFornace 2490.55
Forchia Toritto 621.09
Cartura DolegnaDelCollio 216.41
Strigno TaibonAgordino 40.72
MontaltoDelleMarche MuroLeccese 2193.89
IstiaD'Ombrone-LeStiacciole Quaderni 273.83
Cagli PietraMarazzi 1186.09
Camponogara Salgareda 179.68
Pontebba Porto 1603.88
CampoDiCarne Carrodano 1240.89
Lanvario Lettomanoppello 2921.67
Dovera Onanì 568.07
SilvanoD'Orba Vigasio 241.93
Fondi Fragagnano 429.89
Favari-Avatanei VillaFornace 90.38
Molinella SantoStefanoLodigiano 309.94
Mezzocorona SantaMariaImbaro 692.47
FontanetoD'Agogna SanNazario 1233.02
Formigliana SanGabriele-Mondonuovo 1457.74
Montese SilvanoD'Orba 927.71
BassanoBresciano Vacone 359.72
Conscenti LignanoSabbiadoro 448.45
Caldarola Maclodio 529.98
SanLorenzoAlMare Viadana 820.3
BadiaPolesine Murisengo 1208.22
Casavecchia MaglianoInToscana 325.06
CampagnolaEmilia CostaLambro 611.83
Mattarello Piangaiano 503.42
Mulazzo Onanì 638.97
Milis Torpè 445.21
Cepagatti MaglianoInToscana 288.2
Cagli Torrebelvicino 409.94
Curtarolo Gandino 519.08
Amato SanPoloDeiCavalieri 1235.06
Canegrate Cannalonga 1999.44
CorvaraInBadia Fondi 943.88
SanBassano Spinazzola 1424.29
Bessude Fiesse 972.33
Candiolo CuraCarpignano 255.32
Alliste Anela 2993.26
Desulo Muros 226.96
Cicerale Giave 1378.95
Crema Spadafora 1878.6
Andalo Sarno 1430.57
Aielli SanLorenzoNuovo 424.41
CaprinoVeronese VigaranoMainarda 276.53
AzzanoDecimo Leonessa 569.62
Pontechianale PonzanoDiFermo 1731.21
Pescorocchiano Venturina 518.79
Castelcucco TravedonaMonate 637.13
CampoJemini SanLorenzoAlMare 450.89
BagnoARipoli Voltago 611.19
SanMauroDiSaline Villaseta 766.82
Monteflavio Pontelatone 481.21
Conselice VicoEquense 1221.93
Centrache Spinetoli 1738.59
BarbaranoRomano Cucciago 1373.71
Casabona Sava 531.89
Civitaluparella Grottolella 189.86
Contrada MontepulcianoStazione 1560.81
CastelRozzone Guardistallo 952.42
Curcuris Savelli 784.87
SanPoloDeiCavalieri Sestola 245.91
Caluso Collelongo 1388.85
BarbaranoRomano Cecina 692.34
Mezzenile SanGiovanniLipioni 3205.12
Ferrandina Progresso 1879.45
Formigliana SanGiovanniDiGerace 4047.03
Campodarsego StradaInCasentino 202.56
Anagni Mazzano 559.1
Afragola Carovigno 889.72
Casto Noto 1424.97
Chieve Monteviale 299.38
Casavecchia Girifalco 2161.71
Massiola Valenza 251.47
Cannara Osasio 1150.57
BarberinoDiMugello Carchitti 583.48
Anagni Berzantina 359.81
Desulo SanGiovanniDelDosso 1365.96
Comeana PerosaArgentina 1340.78
Mozzecane Roncà 143.68
Monzambano Vercana 254.39
LongoneSabino MonteMiglioreLaSelvotta 289.19
Niardo ValpratoSoana 727.66
Pianoro TravedonaMonate 346.48
Olmeneta Ostana 736.13
Roncone Tavarnuzze 268.91
Formigliana Udine 1646.57
Brogliano Carchitti 447.72
Giave SanteMarie 280.96
Castelcovati Como 339.34
Cenaia Maclodio 168.49
Arielli ConcordiaSullaSecchia 1446.09
GricignanoDiAversa Samone 1824.62
Sarno Spartimento 12.67
MontorioAlVomano SanLuca 2055.15
Imposte Rovagnate 731.42
LidoAdriano Trevenzuolo 543.19
Alatri Monzambano 674.35
Bubano PonteNelleAlpi 112.85
Civitaluparella Patti 252.47
GaglianoCastelferrato SantoStefanoDiCamastra 99.38
ColleCampano-Scrima Futani 567.13
Proves-Proveis Valenza 1199.73
Massanzago-Ca'Baglioni-SanDono Setteville 238.79
Basiliano Mondolfo 389.89
Cappelletta Massiola 394.01
Pomezia SanZenoNaviglio 1803.45
BarberinoDiMugello Calatabiano 2206.1
BelvedereSpinello GricignanoDiAversa 752.02
Pistrino VerruaPo 701.05
Carnate SanBenedettoInPerillis 1931.44
Murisengo Thiesi 667.0
Follina Sefro 320.51
Castelbelforte Spartimento 1606.98
Niardo SanBenedettoBelbo 1119.59
SanFratello SilvanoD'Orba 1319.66
Montese PramaggioreBlessaglia 348.69
Conscenti OleggioCastello 559.65
LidoAdriano ViglianoD'Asti 367.76
MirabellaImbaccari TrescoreBalneario 3340.53
Mozzecane SanMauroAMare 400.96
MontorioAlVomano PolpenazzeDelGarda 1478.6
Ala Sospiro 279.71
MonteMiglioreLaSelvotta SanGabriele-Mondonuovo 528.37
Prati Savelli 1453.54
Moiola MorroneDelSannio 2717.69
CastelRozzone LidoAdriano 662.12
CastelnuovoDiCeva SanBellino 976.88
Corropoli Fallo 275.84
Campodarsego Foglizzo 566.55
Luras Silea 1345.28
Buonvicino SanMarcoD'Alunzio 362.25
Calasca-Castiglione Polistena 3953.52
Lumellogno Terrarossa 410.21
Soldano Zogno 278.9
Fiesse PerosaArgentina 432.28
Campli LequioBerria 2589.5
BellanteStazione Cecina 859.85
Cagli FornaceZarattini 174.7
Bonea FiumefreddoSicilia 621.26
Monticello Sant'Antonio 376.9
Nicosia Strangolagalli 235.03
LignanoSabbiadoro StagnoLombardo 730.26
Crespadoro Maerne 414.25
FagnanoCastello PolpenazzeDelGarda 2117.42
Caldonazzo CervareseSantaCroce 162.05
FaggetoLario Posina 785.85
Ponzano Roccalumera 2675.84
Portula SamMarino 1157.66
PerosaArgentina Rovagnate 196.74
Anagni CervareseSantaCroce 1200.22
Prati Valenzano 2904.67
Pistrino PozzaglioEdUniti 455.69
CastelfrancoEmilia CerretoLanghe 662.45
Pradamano Treviglio 1116.99
CasamicciolaTerme CerretoLanghe 385.7
Alife Montalenghe 1354.71
CerretoLaziale Crognaleto 181.81
RuvoDiPuglia VillaFornace 1740.42
Cappelletta Caravate 710.65
CassanoDelleMurge MacchiaD'Isernia 428.73
Gallicchio Triggiano 373.39
Andalo SabbioChiese 174.77
Cesinali RovelloPorro 1823.67
Proves-Proveis Terrarossa 410.96
Pabillonis TuoroSulTrasimeno 1018.32
Gavi Meolo 718.43
Magomadas PonteNelleAlpi 762.69
Portobuffolè SanPietroMussolino 453.73
Santena Scerni 2463.51
Lombardore RoccellaValdemone 3925.11
Cascinare CaseNuove 1486.89
Rombiolo Vallà 1826.36
Gaiba Torrebelvicino 321.17
Bucine Terrarossa 333.3
SanPietroCapofiume Vallà 253.91
PuosD'Alpago Villaverla 295.11
CampoDiCarne Trecenta 1569.15
Nicosia Palanzano 1414.6
SanSevero Viadana 2289.6
Lettopalena PietraMarazzi 2525.04
Canegrate Progresso 283.71
Genga SantaMariaNuova 77.66
Maerne SanLeonardo 572.46
Sagnino SanPoloDeiCavalieri 390.63
AlbanoSant'Alessandro Roccalumera 2301.44
SantoStefanoQuisquina VerruaPo 2591.05
Cirimido Strangolagalli 903.49
Alba Borgorose 1611.83
RivaltaDiTorino Teggiano-Macchiaroli 1301.22
Ailoche Buonvicino 692.0
Dogliola IsolaDelleFemmine 647.53
Canalicchio FrancavillaD'Ete 2431.18
BarberinoDiMugello SanLorenzoDiSebato 278.36
CastelfrancoEmilia RiesePioX 108.78
Archi MuroLeccese 1488.91
CastelnuovoDiCeva Sforzacosta 1486.34
Canegrate SanChiricoNuovo 2044.76
Gosaldo Precenicco 456.94
RoggianoGravina Rovagnate 3068.31
Montechiarugolo Torresina 323.89
Montesegale Thiene 256.68
Ottiglio VillaMusone 2365.95
Arielli PozzaglioEdUniti 2255.38
Motteggiana Tavarnuzze 369.07
FiumefreddoSicilia MontePorzio 538.29
Borgoforte MarinaDiSchiavonea 3334.98
BellanteStazione Ponso 1434.56
Alife Catenanuova 1472.04
Casalzuigno SanTerenzo 842.04
BorghettoDiBorbera Santerno 1352.1
Ballabio Visciano 557.08
Ossi Stintino 203.65
Civesio Propata 163.81
PognanaLario Ponti 196.75
Collelongo Madrano-Canzolino 1973.83
Casciago Verdello 193.49
Ruda Sesto 575.98
BorgoSanPaolo Mattarello 243.33
Cicerale Sospiro 2042.56
Onanì Posina 1333.12
FiumefreddoSicilia Saint-Christophe 2129.31
CastelRitaldi Ghiffa 1817.49
Pietralunga TioneDiTrento 1335.22
Bubano FiumefreddoSicilia 2759.48
SorianoCalabro TrescoreBalneario 691.88
Gandino Triggiano 3019.23
Catenanuova IsolaDelLiri 1053.52
Calvanico Dosso 2213.8
Cagli Sambuco 1604.66
Cartura Muros 602.26
Badesi Montenars 1361.28
Alessano Parre 4415.71
CannetoPavese Crone 500.97
Ghislarengo Torriana 1246.53
AlbanoLaziale Monselice 695.36
Caldonazzo MezzanaMortigliengo 670.71
FiglineValdarno Ponzano 467.86
Calizzano Mondovì 149.82
Brognaturo LongoneSabino 1046.4
Cedrasco Sant'Ippolito 359.98
Gavignano Ghiffa 1834.83
Moglia VaranoDe'Melegari 299.83
Latiano Roccabianca 2081.65
Piscina VillaCastelli 1367.89
RoccellaValdemone ValeggioSulMincio 689.44
Pertegada VaranoDe'Melegari 555.22
Camposampiero Caspoggio 821.01
Cagli Spinetoli 284.62
Craveggia Montiglio 327.06
Bolognano-Vignole Vignola 98.3
Cedrasco Torpè 1469.61
Monselice OleggioCastello 1012.87
Carrodano Idro 103.49
AlìTerme SoveratoSuperiore 336.72
Foglizzo Frattaminore 1714.28
RoioDelSangro Tornata 1286.46
Broni SanFiorDiSopra 472.62
LeForna SanCostantinoCalabro 1573.81
IstiaD'Ombrone-LeStiacciole SanMauroTorinese 648.47
Antey-Saint-Andrè Genuri 2163.54
Civitavecchia Longhi 759.04
Prizzi Rezzato 2772.44
CerroTanaro Costarainera 417.98
Bubano Candiolo 885.03
CaliceLigure SanGiovanniGemini 1543.55
Colorina Sant'Apollinare 1013.07
Brescello Suni 453.07
PonteNelleAlpi Seveso 1373.01
BoscoMarengo SoglianoCavour 4585.89
BrindisiMontagna CastelnuovoDiValDiCecina 2369.89
Trevico Villagrande 769.32
Campodarsego SilvanoD'Orba 1274.73
Baragiano Colturano 1266.33
Mendicino Roncà 3348.01
Cannalonga Giacalone 1250.59
FiumefreddoSicilia Squinzano 1450.96
Carrodano Casavecchia 122.08
Cesinali SanLorenzoNuovo 852.61
Aielli Zaccanopoli 1692.38
Durazzano Lettopalena 64.19
Olmeneta VigaranoMainarda 184.92
Toritto Villagrande 1422.76
SamMarino SelvaDeiMolini 622.21
Cagnò SanGiuseppeLePrata-Cotropagno 975.73
BagnoRoselle SanLeonardo 1605.21
Carnate Casteggio 41.18
Polonghera SanGiorgioIonico 3153.77
CornedoVicentino Mattarello 70.48
Nerola Sergnano 758.7
Canalicchio Sassinoro 587.52
Monticello PuegnagoSulGarda 209.61
Mesenzana Villaga 718.94
Monteverde Villacidro 2062.21
MirabellaImbaccari RivaltaBormida 3967.68
CampolongoAlTorre-Cavenzano Torchiarolo 1756.29
Lessona Ponso 802.23
Carovigno Rogno 1050.66
BoscoMarengo PerosaArgentina 474.57
Arrone Zuglio 453.87
Monteflavio Valdieri 2584.93
FrassoTelesino Soiano 703.64
Migliarina RonchiDiCampanile 187.01
Carrodano Montefiascone 438.98
Grantola TravedonaMonate 18.98
Cassacco SammicheleDiBari 2621.57
Forlimpopoli Sant'Antonio 708.7
SammicheleDiBari Torpè 1726.03
Cannalonga TrescoreBalneario 1793.81
Montesegale Valfenera 151.23
Bormio Torriana 764.06
Baraggia Migliarina 570.3
Precenicco Samone 2110.73
Alliste SanFerdinandoDiPuglia 638.5
Anagni TorreDe'Passeri 83.82
CastelGuelfoDiBologna Catenanuova 2625.01
ArcinazzoRomano Mezzenile 1291.53
Corniglio Sant'EgidioAllaVibrata 1193.34
Dosolo Pioraco 381.73
CostiglioleSaluzzo Sava 1010.2
Belvedere-PianoTavola CampagnolaEmilia 1565.87
Fluminata Zuglio 582.81
DonniciInferiore Malalbergo 1315.53
Roncà SantaMariaImbaro 834.39
Borgorose Proves-Proveis 909.35
AlbanoLaziale Dipignano 1278.27
Figliaro Santerno 1201.36
Amica CastellettoD'Orba 1346.57
Carceri Pompu 2279.08
Centinarola Pistrino 116.71
Badesi Bobbio 406.08
Fontanella MonteArgentario 1243.85
Comeana Vigasio 445.5
CassanoDelleMurge Prunetto 1715.23
Petrosino PognanaLario 3247.11
Lessona SanGiorio 408.52
Campodarsego Sestola 336.88
AlbanoSant'Alessandro Monselice 900.8
FagnanoCastello Pontelandolfo 216.73
Montefusco Saint-Christophe 1940.24
Torrebelvicino Trevi 404.87
Contrada Mapello 2372.35
ForteDeiMarmi Futani 868.71
Bolognano-Vignole SanZenoNaviglio 257.26
CampolongoAlTorre-Cavenzano Montenars 155.31
VillanovaDelBattista Villaseta 639.48
Cenaia Delebio 506.84
Amato Carchitti 1803.69
Calatafimi PrataDiSotto 3020.29
Roccalumera SanGiovanniDiGerace 413.89
Ailano Poggiorsini 379.38
Ala Murisengo 892.88
BorgaroTorinese Grosseto 1827.22
Genoa Pinzolo 1002.41
Fiesse Maschito 1522.46
BarberinoDiMugello Strudà 2806.43
Brogliano Sergnano 340.62
CornedoVicentino Monticchio 1539.42
Badesi Bagnoli 573.47
Folzano Giave 452.29
Fossacesia Saint-Christophe 2102.73
Curinga Gravellona 3578.74
Casalgrasso MelitoDiNapoli 3358.69
Manduria VillaFornace 2076.97
CasalCermelli Craco-Sant'Angelo 3289.07
SantaCristinaValgardena Villacidro 2364.04
SanMarcoD'Alunzio Siliqua 741.17
Carchitti PonteNelleAlpi 1569.01
Brognaturo Casto 2215.69
CampoJemini CasanovaElvo 2186.73
Fiesse SoveratoSuperiore 2301.99
Bessude Scerni 2240.64
Afragola Castelbuono 490.09
CandiaLomellina CastelnuovoDiFarfa 1207.43
Intragna SanCostantinoCalabro 993.11
Roncone SanTerenzo 889.01
Masera Rogolo 116.16
Casabona Cesinali 824.87
Ostana Triggiano 2177.29
Crone Squinzano 3603.88
CuraCarpignano MezzanaMortigliengo 243.85
Fanna Toirano 847.84
Giusvalla Zumaglia 130.98
Pianoro Pontelandolfo 809.35
Montese SantoStefanoRoero 957.22
Brescello PuosD'Alpago 899.59
Montegaldella Trinitapoli 2580.92
SanZenoNaviglio VillaFontana 725.81
FrancavillaD'Ete Torpè 811.72
Maccagno SanBenedettoInPerillis 859.61
Marsala Selva 1492.85
Montalenghe SanNazzaroSesia 37.31
BoscoMarengo CampoJemini 2089.68
CasanovaElvo Cascinare 1815.34
Cellole SanMarcoD'Alunzio 1218.15
CascinaElisa Patti 2644.95
CerroTanaro Cossignano 487.61
Casteggio Sefro 604.72
FalernaScalo SanZenoneAlPo 2890.29
AlbanoLaziale Beinette 2445.19
Casto PonteAPoppi 846.19
BariSardo Sant'Antonio 1837.77
Canelli PuntaMarina 337.33
Bogogno Sanza 2313.58
Fanna SanBenedettoInPerillis 637.09
Poggiorsini Ponti 3515.45
Portalbera SanSosti 1287.31
Folzano SanPietro 91.03
SanteramoInColle ValeggioSulMincio 744.1
Desulo Spresiano 1983.14
Badesi Palanzano 805.8
PonteRonca Sambuco 1035.45
IsolaDelleFemmine SanGiovanniGemini 81.34
CandiaLomellina SanLorenzoAlMare 154.98
Boretto Lumezzane 305.72
Foggia Ronago 2560.3
Marco Trevi 1341.47
Sant'AndreaApostoloDelloIonio Zumaglia 2633.97
LignanoSabbiadoro Onè 461.98
Caltana Saint-Christophe 792.41
ArcinazzoRomano Toirano 1404.03
Darfo SanCataldo 651.1
Moglia RomettaMarea 2154.82
